"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","648","Нельзя создать курьера без логина","tests","2026-02-04","passed","2026-02-04","TestCreatingACourier","test_create_courier","",""
"","4055","Курьер может авторизоваться","tests","2026-02-04","passed","2026-02-04","TestCourierAuthorization","test_login_courier","",""
"","2707","Курьер не может авторизоваться с неправильным логином","tests","2026-02-04","passed","2026-02-04","TestCourierAuthorization","test_login_courier","",""
"","677","Создание заказа с разными значениями color","tests","2026-02-04","passed","2026-02-04","TestCreatingAnOrder","test_create_order","",""
"","2663","Курьер не может авторизоваться, если не передан логин","tests","2026-02-04","passed","2026-02-04","TestCourierAuthorization","test_login_courier","",""
"","61292","Курьер не может авторизоваться, если не передан пароль","tests","2026-02-04","failed","2026-02-04","TestCourierAuthorization","test_login_courier","",""
"","2736","Нельзя создать двух одинаковых курьеров","tests","2026-02-04","passed","2026-02-04","TestCreatingACourier","test_create_courier","",""
"","2654","Курьер не может авторизоваться с неправильным паролем","tests","2026-02-04","passed","2026-02-04","TestCourierAuthorization","test_login_courier","",""
"","2133","Создание курьера","tests","2026-02-04","passed","2026-02-04","TestCreatingACourier","test_create_courier","",""
"","701","Создание заказа с разными значениями color","tests","2026-02-04","passed","2026-02-04","TestCreatingAnOrder","test_create_order","",""
"","12259","Список заказов","tests","2026-02-04","passed","2026-02-04","TestGetAListOfOrders","test_get_orders_list","",""
"","664","Авторизации несуществующего курьера","tests","2026-02-04","passed","2026-02-04","TestCourierAuthorization","test_login_courier","",""
"","662","Нельзя создать курьера без пароля","tests","2026-02-04","passed","2026-02-04","TestCreatingACourier","test_create_courier","",""
"","682","Создание заказа с разными значениями color","tests","2026-02-04","passed","2026-02-04","TestCreatingAnOrder","test_create_order","",""
"","672","Создание заказа с разными значениями color","tests","2026-02-04","passed","2026-02-04","TestCreatingAnOrder","test_create_order","",""
